,product,buying_mode,title,start_time,seller_address.country.name,status,seller_address.state.name,tags,available_quantity,listing_type_id,catalog_product_id,condition,warranty,id,accepts_mercadopago,sold_quantity,category_id,original_price,price,base_price,domain_id,official_store_id,seller_id,initial_quantity,health,item_id,reviews_rating_levels.one_star,reviews_rating_levels.five_star,reviews_rating_levels.three_star,reviews_paging.total,reviews_rating_average,reviews_rating_levels.four_star,reviews_rating_levels.two_star
31,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 20gb 1tb + 240ssd  Ubuntu Ñ,2020-11-19T18:02:04.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897942853,True,0,MLA1652,138999,123399.0,123399.0,MLA-NOTEBOOKS,69,179571326,14,0.8,MLA897942853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6  32gb 1tb Ubuntu Teclado Con Ñ,2020-11-18T18:15:45.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897765445,True,0,MLA1652,,164598.0,164598.0,MLA-NOTEBOOKS,69,179571326,14,0.9,MLA897765445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 8gb 1tb + 240ssd Ubuntu Ñ,2020-11-19T18:08:53.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897947144,True,0,MLA1652,,123498.0,123498.0,MLA-NOTEBOOKS,69,179571326,17,0.9,MLA897947144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6  16gb 1tb Ubuntu Teclado Con Ñ,2020-12-03T17:15:04.000Z,Argentina,active,Capital Federal,"['good_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA899827340,True,0,MLA1652,,118299.0,118299.0,MLA-NOTEBOOKS,69,179571326,12,0.77,MLA899827340,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 4g 1tb + 480ssd  Ubuntu Ñ,2020-11-19T18:14:53.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897945679,True,0,MLA1652,,148198.0,148198.0,MLA-NOTEBOOKS,69,179571326,16,0.88,MLA897945679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 24 Gb 1tb + 240ssd  Ubuntu Ñ,2020-11-19T18:00:18.000Z,Argentina,active,Capital Federal,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897942674,True,0,MLA1652,,164298.0,164298.0,MLA-NOTEBOOKS,69,179571326,11,0.9,MLA897942674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 16gb 1tb + 480ssd Ubuntu Ñ,2020-11-25T14:01:51.000Z,Argentina,active,Capital Federal,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA898699634,True,0,MLA1652,,106299.0,106299.0,MLA-NOTEBOOKS,69,179571326,11,0.77,MLA898699634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 32gb 1tb + 240 Ssd Ubuntu Ñ,2020-11-19T18:00:37.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897942723,True,0,MLA1652,,170898.0,170898.0,MLA-NOTEBOOKS,69,179571326,14,0.9,MLA897942723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 24 Gb 1tb + 240ssd Ubuntu Ñ,2020-11-19T18:30:10.000Z,Argentina,active,Capital Federal,"['good_quality_picture', 'brand_verified', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897954088,True,0,MLA1652,119999,104999.0,104999.0,MLA-NOTEBOOKS,69,179571326,18,0.77,MLA897954088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6  20g 1tb Ubuntu Teclado Con Ñ,2020-11-18T18:15:40.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897766186,True,0,MLA1652,,126498.0,126498.0,MLA-NOTEBOOKS,69,179571326,14,0.88,MLA897766186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 20gb 1tb + 240ssd  Ubuntu Ñ,2020-11-19T18:00:00.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897942634,True,0,MLA1652,,157798.0,157798.0,MLA-NOTEBOOKS,69,179571326,14,0.9,MLA897942634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 4g 1tb + 240ssd Ubuntu  Ñ,2020-11-19T18:08:42.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897946608,True,0,MLA1652,,119698.0,119698.0,MLA-NOTEBOOKS,69,179571326,18,0.88,MLA897946608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 24g 1tb + 480ssd Ubuntu  Ñ,2020-11-19T18:46:09.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897955367,True,0,MLA1652,120999,106999.0,106999.0,MLA-NOTEBOOKS,69,179571326,18,0.77,MLA897955367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 12gb 1tb + 240ssd Ubuntu Ñ,2020-11-19T18:12:25.000Z,Argentina,active,Capital Federal,"['brand_verified', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897947521,True,0,MLA1652,,126198.0,126198.0,MLA-NOTEBOOKS,69,179571326,11,0.88,MLA897947521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 24 Gb 1tb + 480ssd  Ubuntu Ñ,2020-11-19T18:16:09.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897947956,True,0,MLA1652,,167598.0,167598.0,MLA-NOTEBOOKS,69,179571326,11,0.9,MLA897947956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 20 Gb 1tb + 240ssd Ubuntu Ñ,2020-11-19T18:13:01.000Z,Argentina,active,Capital Federal,"['brand_verified', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897947555,True,0,MLA1652,,132798.0,132798.0,MLA-NOTEBOOKS,69,179571326,14,0.88,MLA897947555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 4g 1tb + 480ssd Ubuntu Ñ,2020-11-19T18:39:43.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897952644,True,0,MLA1652,,123098.0,123098.0,MLA-NOTEBOOKS,69,179571326,18,0.88,MLA897952644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 32g 1tb + 480ssd Ubuntu  Ñ,2020-11-19T18:43:01.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897955963,True,0,MLA1652,,149198.0,149198.0,MLA-NOTEBOOKS,69,179571326,14,0.88,MLA897955963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
