,item_id,product,title,price,accepts_mercadopago,base_price,warranty,official_store_id,seller_id,sold_quantity,catalog_product_id,category_id,start_time,seller_address.country.name,status,condition,health,tags,buying_mode,original_price,domain_id,available_quantity,initial_quantity,seller_address.state.name,listing_type_id,questions_total,user_user_type,user_seller_reputation.power_seller_status,user_nickname,user_seller_reputation.transactions.completed,user_seller_reputation.transactions.ratings.positive,user_seller_reputation.transactions.canceled,user_seller_reputation.level_id,user_seller_reputation.transactions.ratings.neutral,user_seller_reputation.transactions.ratings.negative,product_name,product_sold_quantity,product_domain_id
495,MLA901291842,Dell Vostro,Notebook Dell Vostro I3 15.6 12gb 1tb + 240ssd Ubuntu Ñ,98599.0,True,98599.0,,1482,179571326,0,MLA16639105,MLA1652,2020-12-16T16:18:57.000Z,Argentina,active,new,0.66,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,11,Capital Federal,gold_special,,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
496,MLA901291900,Dell Vostro,Notebook Dell Vostro I3 15.6 20 Gb 1tb + 240ssd Ubuntu Ñ,103799.0,True,103799.0,,1482,179571326,0,MLA16639105,MLA1652,2020-12-16T16:20:36.000Z,Argentina,active,new,0.66,"['extended_warranty_eligible', 'good_quality_picture', 'brand_verified', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,14,Capital Federal,gold_special,,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
497,MLA897765440,Dell Vostro,Notebook Dell Vostro I3 15.6  12g 1tb Ubuntu Teclado Con Ñ,119898.0,True,119898.0,,69,179571326,0,MLA16639105,MLA1652,2020-11-18T18:15:40.000Z,Argentina,active,new,0.88,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,11,Capital Federal,gold_pro,,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
498,MLA901292365,Dell Vostro,Notebook Dell Vostro I3 15.6 8gb 1tb + 240ssd Ubuntu Ñ,96499.0,True,96499.0,,1482,179571326,0,MLA16639105,MLA1652,2020-12-16T16:18:49.000Z,Argentina,active,new,0.66,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,17,Capital Federal,gold_special,,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
499,MLA900687782,Dell Vostro,Notebook Dell Vostro I3 15.6 4g 1tb Ubuntu Teclado Con Ñ,89999.0,True,89999.0,Garantía de fábrica: 1 años,69,179571326,0,MLA16639105,MLA1652,2020-12-11T15:57:19.000Z,Argentina,active,new,0.88,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,103999,MLA-NOTEBOOKS,1,7,Capital Federal,gold_special,0.0,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
500,MLA881143425,Dell Vostro,Notebook Laptop Dell Vostro I5 32gb 1tb + 480ssd 14 Win,185098.0,True,185098.0,,69,179571326,0,MLA16173015,MLA1652,2020-09-28T13:26:26.000Z,Argentina,active,new,0.9,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,10,Capital Federal,gold_pro,,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3490,0.0,MLA-NOTEBOOKS
501,MLA897907528,Dell Vostro,"Notebook Dell Intel I5 10° Gen 1 Tb+ 240 Ssd 8gb 15,6  Dvd ",128000.0,True,128000.0,Garantía de fábrica: 12 meses,,66921256,0,MLA16639105,MLA1652,2020-11-19T14:07:02.000Z,Argentina,active,new,0.7,"['poor_quality_picture', 'poor_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,3,Capital Federal,gold_special,3.0,normal,silver,HARD-BAIRES,449.0,0.99,23.0,5_green,0.01,0.0,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
502,MLA901292425,Dell Vostro,Notebook Dell Vostro I3 15.6 24 Gb 1tb + 240ssd Ubuntu Ñ,108799.0,True,108799.0,,1482,179571326,0,MLA16639105,MLA1652,2020-12-16T16:20:37.000Z,Argentina,active,new,0.66,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,11,Capital Federal,gold_special,,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
503,MLA897909525,Dell Vostro,"Notebook Dell Intel I5 10° Gen 1 Tb+ 240 Ssd 15,6 Dvd*cuotas",159000.0,True,159000.0,Garantía de fábrica: 12 meses,,66921256,0,MLA16639105,MLA1652,2020-11-19T14:20:02.000Z,Argentina,active,new,0.8,"['poor_quality_picture', 'poor_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,3,Capital Federal,gold_pro,0.0,normal,silver,HARD-BAIRES,449.0,0.99,23.0,5_green,0.01,0.0,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
504,MLA897911874,Dell Vostro,"Notebook Dell Intel I3 10° Gen 1 Tb+ 240 Ssd 15,6 8gb Ubuntu",98000.0,True,98000.0,Garantía de fábrica: 12 meses,,66921256,0,MLA16639105,MLA1652,2020-11-19T14:30:12.000Z,Argentina,active,new,0.7,"['extended_warranty_eligible', 'poor_quality_picture', 'poor_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,3,Capital Federal,gold_special,0.0,normal,silver,HARD-BAIRES,449.0,0.99,23.0,5_green,0.01,0.0,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
505,MLA897926533,Dell Vostro,"Notebook Dell Intel I3 10° Gen 1 Tb+ 240 Ssd 15,6 8gb*cuotas",124000.0,True,124000.0,Garantía de fábrica: 12 meses,,66921256,0,MLA16639105,MLA1652,2020-11-19T15:54:53.000Z,Argentina,active,new,0.9,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,3,Capital Federal,gold_pro,0.0,normal,silver,HARD-BAIRES,449.0,0.99,23.0,5_green,0.01,0.0,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
506,MLA881142329,Dell Vostro,Notebook Laptop Dell Vostro I5 32gb 1tb + 240ssd 14 Win,181698.0,True,181698.0,,69,179571326,0,MLA16173015,MLA1652,2020-09-28T13:26:12.000Z,Argentina,active,new,0.9,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,10,Capital Federal,gold_pro,0.0,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3490,0.0,MLA-NOTEBOOKS
507,MLA881142327,Dell Vostro,Notebook Laptop Dell Vostro I5 20gb 1tb + 240ssd 14 Win,168698.0,True,168698.0,,69,179571326,0,MLA16173015,MLA1652,2020-09-28T13:26:10.000Z,Argentina,active,new,0.9,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,10,Capital Federal,gold_pro,,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3490,0.0,MLA-NOTEBOOKS
508,MLA904258618,Dell Vostro,Notebook Dell Vostro I5 10ª Gen 14  1tb 4gb Slim Win10 Pro,110999.0,True,110999.0,Garantía de fábrica: 12 meses,1545,293425181,0,MLA16173015,MLA1652,2021-01-14T20:09:59.000Z,Argentina,active,new,0.88,"['extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,10,Capital Federal,gold_special,0.0,brand,platinum,SHOPNOWSRL,11386.0,0.9,538.0,5_green,0.03,0.07,Dell Vostro 3490,0.0,MLA-NOTEBOOKS
509,MLA881142342,Dell Vostro,Notebook Laptop Dell Vostro I5 20gb 1tb + 480ssd 14 Win,171998.0,True,171998.0,,69,179571326,0,MLA16173015,MLA1652,2020-09-28T13:26:23.000Z,Argentina,active,new,0.9,"['good_quality_thumbnail', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,10,Capital Federal,gold_pro,0.0,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3490,0.0,MLA-NOTEBOOKS
510,MLA881142433,Dell Vostro,Notebook Laptop Dell Vostro I5 16gb 1tb + 480ssd 14 Win,139033.95,True,139033.95,,,140152798,0,MLA16173015,MLA1652,2020-09-28T13:27:49.000Z,Argentina,active,new,0.75,"['good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,10,Capital Federal,gold_special,0.0,normal,silver,OPORTUTEK,753.0,0.97,81.0,5_green,0.02,0.01,Dell Vostro 3490,0.0,MLA-NOTEBOOKS
511,MLA896875118,Dell Vostro,"Notebook Dell Vostro I5 8gb Ssd 256gb 13,3 Fhd Win10 Pro",224613.99,True,224613.99,,,140152798,0,MLA15504025,MLA1652,2020-11-12T14:11:01.000Z,Argentina,active,new,0.87,"['good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,6,Capital Federal,gold_pro,0.0,normal,silver,OPORTUTEK,753.0,0.97,81.0,5_green,0.02,0.01,Dell Vostro 5391,0.0,MLA-NOTEBOOKS
512,MLA881142340,Dell Vostro,Notebook Laptop Dell Vostro I5 16gb 1tb + 480ssd 14 Win,171898.0,True,171898.0,,69,179571326,0,MLA16173015,MLA1652,2020-09-28T13:26:21.000Z,Argentina,active,new,0.9,"['good_quality_thumbnail', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,10,Capital Federal,gold_pro,,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3490,0.0,MLA-NOTEBOOKS
513,MLA881143381,Dell Vostro,Notebook Laptop Dell Vostro I5 16gb 1tb + 240ssd 14 Win,168498.0,True,168498.0,,69,179571326,0,MLA16173015,MLA1652,2020-09-28T13:26:05.000Z,Argentina,active,new,0.9,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,10,Capital Federal,gold_pro,0.0,brand,platinum,TIENDASMERCADOLIBRE,6789.0,0.96,508.0,5_green,0.02,0.02,Dell Vostro 3490,0.0,MLA-NOTEBOOKS
