;index;item_id;product;price;accepts_mercadopago;listing_type_id;available_quantity;initial_quantity;original_price;title;category_id;health;catalog_product_id;warranty;domain_id;sold_quantity;buying_mode;official_store_id;seller_address.state.name;start_time;status;condition;tags;seller_address.country.name;seller_id;base_price;questions_total;user_seller_reputation.transactions.completed;user_seller_reputation.transactions.ratings.neutral;user_nickname;user_seller_reputation.transactions.ratings.negative;user_seller_reputation.level_id;user_seller_reputation.transactions.ratings.positive;user_seller_reputation.power_seller_status;user_user_type;user_seller_reputation.transactions.canceled;product_sold_quantity;product_domain_id;product_name
456;456;MLA896154888;Dell XPS;213499.0;TRUE;gold_special;1;10;;Notebook Dell Xps 13 9360 13.3 Full Hd Anti-glare Infinityed;MLA1652;0.62;MLA15713211;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-11-07T03:54:25.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;72973477;213499.0;;4.0;0.0;CAM_JUL2011;0.0;;1.0;;normal;0.0;0.0;MLA-NOTEBOOKS;Dell XPS 9360
457;457;MLA876508831;Dell XPS;187499.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 13 13.3 Ips Quad Hd Touchscreen Laptop-in;MLA1652;0.62;;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:14:46.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;638164371;187499.0;1.0;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;;;
458;458;MLA896155900;Dell XPS;416499.0;TRUE;gold_special;1;10;;Notebook Dell Xps 9570 7085slv Laptop Intel I7-8750h 6-core;MLA1652;0.62;MLA15249930;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-11-07T03:54:27.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;72973477;416499.0;0.0;4.0;0.0;CAM_JUL2011;0.0;;1.0;;normal;0.0;0.0;MLA-NOTEBOOKS;Dell XPS 9570
459;459;MLA896154772;Dell XPS;330499.0;TRUE;gold_special;1;10;;Notebook Dell Xps 9570 Laptop 15.6 Uhd 3840 X 2160 Infinitye;MLA1652;0.62;MLA15249930;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-11-07T03:54:08.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;72973477;330499.0;;4.0;0.0;CAM_JUL2011;0.0;;1.0;;normal;0.0;0.0;MLA-NOTEBOOKS;Dell XPS 9570
460;460;MLA876509689;Dell XPS;216599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 15-9550 Intel Core I3-6100h X2 2.7ghz 8g®;MLA1652;0.62;MLA16537255;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:32.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;638164371;216599.0;0.0;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9550
461;461;MLA896162186;Dell XPS;210499.0;TRUE;gold_special;1;10;;Notebook Dell Xps 13 9370 13.3 Ultra Hd 4k Touch 8th Gen I7-;MLA1652;0.62;MLA15252019;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-11-07T04:52:00.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;4341097;210499.0;0.0;7.0;0.0;EZEQUIELMIN;0.0;;1.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9370
462;462;MLA896160029;Dell XPS;216499.0;TRUE;gold_special;1;10;;Notebook Dell Xps 9370 3840 X 2160 Touchscreen Lcd Laptop In;MLA1652;0.62;MLA15252019;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-11-07T04:51:54.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;4341097;216499.0;;7.0;0.0;EZEQUIELMIN;0.0;;1.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9370
463;463;MLA876505396;Dell XPS;266599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 13 7390 Laptop 13.3 Inch 4k Uhd Infinity®;MLA1652;0.62;MLA15483624;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T06:33:29.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;638160963;266599.0;;0.0;0.0;DOMA5788743;0.0;;0.0;;normal;0.0;0.0;MLA-NOTEBOOKS;Dell XPS 7390
464;464;MLA896162087;Dell XPS;330499.0;TRUE;gold_special;1;10;;Notebook Dell Xps 15 7590 Home Y Business Laptop Intel I7-97;MLA1652;0.62;MLA15316031;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-11-07T04:51:54.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;4341097;330499.0;;7.0;0.0;EZEQUIELMIN;0.0;;1.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 7590
465;465;MLA896159984;Dell XPS;266499.0;TRUE;gold_special;1;10;;Notebook Dell Xps13 Xps9380-7885gld-pus Intel Core I7-8565;MLA1652;0.62;;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-11-07T04:51:43.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;4341097;266499.0;;7.0;0.0;EZEQUIELMIN;0.0;;1.0;;normal;1.0;;;
